,date,regions,address,location
0,2022-12-08,栖霞区,栖霞区丽岛花园,"118.821387,32.170810"
1,2022-12-08,秦淮区,秦淮区陶李王巷,"118.769572,32.039588"
2,2022-12-08,江宁区,江宁区朗诗青春街区,"118.851406,31.776940"
3,2022-12-08,江宁区,江宁区空港公寓,"118.812126,31.791299"
4,2022-12-08,浦口区,南京工业大学如斋宿舍,"118.642381,32.077725"
5,2022-12-08,鼓楼区,鼓楼区恒盛嘉园,"118.771036,32.101980"
6,2022-12-08,高淳区,高淳区襟湖村夹埂自然村,"118.862067,31.320970"
7,2022-12-08,建邺区,建邺区莱蒙水榭春天,"118.726897,32.022688"
8,2022-12-08,鼓楼区,鼓楼区金达花园,"118.768072,32.098921"
9,2022-12-08,江宁区,江宁区新保弘领东苑D区,"118.839685,31.953702"
10,2022-12-08,江宁区,江宁区铜岭新村,"118.878497,31.686803"
11,2022-12-08,江宁区,江宁区红杨墅村,"118.797473,31.727189"
12,2022-12-08,江宁区,江宁区许村,"118.910534,31.882903"
13,2022-12-08,江宁区,江宁区后业村,"118.849578,31.678793"
14,2022-12-08,江宁区,江宁区陈巷村,"118.846876,31.697743"
15,2022-12-08,鼓楼区,鼓楼区姜圩路90号,"118.743856,32.082175"
16,2022-12-08,江宁区,江宁区河北社区,"118.991185,31.895111"
17,2022-12-08,浦口区,浦口区联合村,"118.570738,32.156090"
18,2022-12-08,江宁区,江宁区麒麟山庄,"118.938430,32.051229"
19,2022-12-08,秦淮区,秦淮区汇景家园汇安苑,"118.813460,31.983338"
20,2022-12-08,江宁区,江宁区百利华府3期,"118.854570,31.774167"
21,2022-12-08,江宁区,江宁区陈巷村,"118.846876,31.697743"
22,2022-12-08,栖霞区,栖霞区乾坤村,"118.816646,32.178024"
23,2022-12-08,鼓楼区,鼓楼区世茂外滩新城,"118.735281,32.080007"
24,2022-12-08,鼓楼区,鼓楼区清江花苑碧波园,"118.740758,32.069161"
25,2022-12-08,溧水区,溧水区锦和家园,"119.028280,31.651133"
26,2022-12-08,玄武区,玄武区北京东路38号,"118.806530,32.057079"
27,2022-12-08,栖霞区,栖霞区三元祠,"118.867879,32.108046"
28,2022-12-08,栖霞区,栖霞区金尧花园,"118.873952,32.122341"
29,2022-12-08,浦口区,浦口区西街,"118.529754,31.944611"
30,2022-12-08,浦口区,江北新区浦欣家园,"118.702571,32.106827"
31,2022-12-08,江宁区,江宁区里外城（金石路99号）,"118.868512,31.774165"
32,2022-12-08,江宁区,江宁区湖东音乐苑,"118.822366,31.940149"
33,2022-12-08,浦口区,江北新区北外滩水城十六街区,"118.755310,32.143132"
34,2022-12-08,溧水区,溧水区新能源大道龙鑫电子工地49号宿舍,"119.028280,31.651133"
35,2022-12-08,鼓楼区,鼓楼区咖居酒店（长江大桥阅江楼店）,"118.755688,32.092958"
36,2022-12-08,鼓楼区,鼓楼区南京医科大学五台校区,"118.774377,32.044550"
37,2022-12-08,雨花台区,雨花台区金域华府,"118.647860,31.909066"
38,2022-12-08,鼓楼区,鼓楼区明城大厦（建宁路241号）,"118.757625,32.093387"
39,2022-12-08,鼓楼区,鼓楼区水关桥121号,"118.756805,32.101491"
40,2022-12-07,浦口区,浦口区西江佳园,"118.628137,32.051690"
41,2022-12-07,玄武区,玄武区钟山花园城陶然居,"118.848141,32.032849"
42,2022-12-07,江宁区,江宁区觅秀东园,"118.876188,31.998807"
43,2022-12-07,秦淮区,秦淮区阳光里小区,"118.803191,31.997724"
44,2022-12-07,江宁区,江宁区托乐嘉花园小区睦邻居,"118.784958,31.945507"
45,2022-12-07,秦淮区,秦淮区登隆巷19号,"118.774066,32.029043"
46,2022-12-07,鼓楼区,鼓楼区姜圩路20号,"118.744472,32.081625"
47,2022-12-07,江宁区,江宁区觅秀东园,"118.876188,31.998807"
48,2022-12-07,鼓楼区,鼓楼区紫竹林,"118.772688,32.085052"
49,2022-12-07,秦淮区,秦淮区石鼓路165号,"118.774817,32.040954"
50,2022-12-07,鼓楼区,鼓楼区龙江花园城港龙园,"118.747493,32.061068"
51,2022-12-07,江宁区,江宁区觅秀东园,"118.876188,31.998807"
52,2022-12-07,江宁区,江宁区秦村社区,"118.839685,31.953702"
53,2022-12-07,玄武区,栖霞区十字街70号,"118.807508,32.097318"
54,2022-12-07,浦口区,江北新区如山芯寓,"118.642982,32.036529"
55,2022-12-07,鼓楼区,南京师范大学（随园校区）,"118.767199,32.054102"
56,2022-12-07,江宁区,江宁区天泽苑,"118.851290,31.918865"
57,2022-12-07,浦口区,浦口区明发香山郡,"118.605739,32.077447"
58,2022-12-07,浦口区,浦口区双山社区东乔组,"118.405174,31.940242"
59,2022-12-07,浦口区,浦口区桥林西街,"118.530507,31.942603"
60,2022-12-07,建邺区,建邺区电站村小区,"118.760665,32.023525"
61,2022-12-07,鼓楼区,鼓楼区热河南路36号院,"118.741585,32.082245"
62,2022-12-07,江宁区,江宁区觅秀东园,"118.876188,31.998807"
63,2022-12-07,栖霞区,栖霞区兴都花园,"118.844357,32.105781"
64,2022-12-07,高淳区,高淳区襟湖村夹埂自然村,"118.862067,31.320970"
65,2022-12-07,江宁区,江宁友爱医院,"118.821166,31.942181"
66,2022-12-07,鼓楼区,鼓楼区西柏果园,"118.765847,32.079606"
67,2022-12-07,江宁区,江宁区圆通速递（苍穹路8号）,"118.843460,31.923670"
68,2022-12-07,鼓楼区,鼓楼区水佐岗19号,"118.763790,32.067669"
69,2022-12-07,鼓楼区,鼓楼区龙池庵,"118.751374,32.084758"
70,2022-12-07,江宁区,江宁区托乐嘉花园小区睦邻居,"118.784958,31.945507"
71,2022-12-07,鼓楼区,鼓楼区紫霞公寓,"118.800697,32.100208"
72,2022-12-07,栖霞区,栖霞区巽离村,"118.909246,32.096228"
73,2022-12-07,玄武区,玄武区丹凤新寓,"118.789401,32.052566"
74,2022-12-07,溧水区,溧水区双塘景苑,"119.026544,31.662301"
75,2022-12-07,秦淮区,秦淮区月牙湖社区紫金城西区,"118.831158,32.035840"
76,2022-12-07,浦口区,浦口区龙湖春江悦铭,"118.627895,32.059093"
77,2022-12-07,鼓楼区,鼓楼区南医大二附院,"118.745235,32.080824"
78,2022-12-07,江宁区,江宁区凤凰社区正方石材市场A区28号,"118.798460,31.835290"
79,2022-12-07,鼓楼区,鼓楼区钟阜路2号,"118.766959,32.087766"
80,2022-12-07,鼓楼区,鼓楼区天目路,"118.766444,32.059378"
81,2022-12-07,秦淮区,秦淮区武定新村,"118.804875,32.011594"
82,2022-12-07,栖霞区,栖霞区月桂园,"118.867848,32.117816"
83,2022-12-07,栖霞区,栖霞区生产村,"118.788964,32.183285"
84,2022-12-07,栖霞区,栖霞区丽岛花园,"118.821387,32.170810"
85,2022-12-07,建邺区,建邺区电站村小区,"118.760665,32.023525"
86,2022-12-06,江宁区,江宁区东麒佳苑,"118.877325,31.970711"
87,2022-12-06,栖霞区,栖霞区月桂园,"118.867848,32.117816"
88,2022-12-06,浦口区,江北新区如山芯寓,"118.642982,32.036529"
89,2022-12-06,溧水区,溧水区芦家边村,"119.117789,31.692316"
90,2022-12-06,溧水区,溧水区光明社区三甲村,"119.028280,31.651133"
91,2022-12-06,栖霞区,栖霞区仙林大道181号万达茂中心E座,"118.968797,32.110501"
92,2022-12-06,鼓楼区,鼓楼区金陵世纪花园,"118.736084,32.041392"
93,2022-12-06,江宁区,江宁区九龙湖国际企业总部园,"118.811278,31.911814"
94,2022-12-06,栖霞区,栖霞区南炼二村小区,"118.933837,32.154753"
95,2022-12-06,浦口区,江北新区旭日上城三期,"118.724200,32.140862"
96,2022-12-06,栖霞区,栖霞区双柳村,"118.793883,32.187032"
97,2022-12-06,栖霞区,栖霞区丽岛花园,"118.821387,32.170810"
98,2022-12-06,栖霞区,栖霞区月桂园,"118.867848,32.117816"
99,2022-12-06,栖霞区,栖霞区双柳村,"118.793883,32.187032"
100,2022-12-06,江宁区,江宁区觅秀东园,"118.876188,31.998807"
101,2022-12-06,鼓楼区,鼓楼区玉桥国际公寓,"118.781028,32.092480"
102,2022-12-06,栖霞区,栖霞区尧化新村,"118.875454,32.113413"
103,2022-12-06,栖霞区,栖霞区贞利东村,"118.861137,32.183936"
104,2022-12-06,栖霞区,栖霞区栖化新村,"118.940451,32.147078"
105,2022-12-06,栖霞区,栖霞区晓庄村,"118.815149,32.118151"
106,2022-12-06,栖霞区,栖霞区南炼二村小区,"118.933837,32.154753"
107,2022-12-06,江宁区,江宁区方山集镇,"118.858522,31.895368"
108,2022-12-06,栖霞区,栖霞区大沙东村,"118.909246,32.096228"
109,2022-12-06,江宁区,江宁区来凤路来凤小区,"118.854718,31.771442"
110,2022-12-06,鼓楼区,鼓楼区东妙峰庵小区,"118.757513,32.085592"
111,2022-12-06,栖霞区,栖霞区晓庄村,"118.815149,32.118151"
112,2022-12-06,鼓楼区,鼓楼区萨家湾52号居民餐厅宿舍,"118.757159,32.083782"
113,2022-12-06,鼓楼区,鼓楼区中山北路287号,"118.760171,32.079361"
114,2022-12-06,江宁区,江宁区曾庄,"118.734820,31.723916"
115,2022-12-06,栖霞区,栖霞区乾坤村,"118.816646,32.178024"
116,2022-12-06,江宁区,江宁友爱医院,"118.821166,31.942181"
117,2022-12-06,江宁区,江宁区胜利新寓,"118.828375,31.942000"
118,2022-12-06,栖霞区,栖霞区紫金北郡山庄,"118.868554,32.114732"
119,2022-12-06,栖霞区,栖霞区七里村,"118.803337,32.159838"
120,2022-12-05,鼓楼区,鼓楼区东门前街157号楼,"118.785101,32.093514"
121,2022-12-05,江宁区,江宁区乐园路5号,"118.788634,31.769972"
122,2022-12-05,江宁区,江宁区云靖花园,"118.839685,31.953702"
123,2022-12-05,鼓楼区,鼓楼区云燕园小区,"118.778373,32.106230"
124,2022-12-05,栖霞区,栖霞区南炼二村小区,"118.933837,32.154753"
125,2022-12-05,江宁区,江宁区格莱酒店（江宁大学城店）,"118.912492,31.909797"
126,2022-12-05,雨花台区,雨花台区凤翔花园四期,"118.760583,31.965384"
127,2022-12-05,雨花台区,雨花台区银杏山庄,"118.764169,31.955772"
