,date,regions,address,location,risk level
0,2022-12-04,玄武区,红山街道黄家圩149号,"118.801740,32.094276",3
1,2022-12-04,玄武区,玄武湖街道7天酒店（花园路1-58号）,"118.826175,32.076638",3
2,2022-12-04,玄武区,孝陵卫街道亚朵酒店（童卫路5号）,"118.841172,32.039176",3
3,2022-12-04,玄武区,梅园新村街道汉庭酒店（龙蟠中路29-1号）,"118.806810,32.053380",3
4,2022-12-04,秦淮区,汇景家园汇安苑4幢,"118.812889,31.982570",3
5,2022-12-04,秦淮区,秦虹街道雅居乐花园12栋1单元,"118.799579,32.008909",3
6,2022-12-04,秦淮区,月牙湖街道富丽山庄5幢1单元,"118.836693,32.027611",3
7,2022-12-04,秦淮区,五老村街道仁寿里28号,"118.798642,32.036392",3
8,2022-12-04,秦淮区,红花街道阳光里3幢,"118.803615,31.996521",3
9,2022-12-04,秦淮区,朝天宫街道南台巷32号桔子酒店,"118.780915,32.037769",3
10,2022-12-04,秦淮区,汇景家园汇平苑10栋1单元,"118.813790,31.982483",3
11,2022-12-04,秦淮区,汇景和园10栋,"118.834630,31.984570",3
12,2022-12-04,秦淮区,南部新城全民健身中心项目工地,"118.790819,32.041841",3
13,2022-12-04,秦淮区,曙光里13幢3单元,"118.805952,32.001566",3
14,2022-12-04,秦淮区,来凤小区222号,"118.773120,32.020564",3
15,2022-12-04,秦淮区,武定新村13幢,"118.804598,32.010684",3
16,2022-12-04,秦淮区,乔虹苑24幢82号,"118.806070,32.014776",3
17,2022-12-04,秦淮区,高虹苑1栋7号,"118.809236,32.013130",3
18,2022-12-04,秦淮区,莺虹苑3栋7号,"118.803273,32.013177",3
19,2022-12-04,建邺区,兴隆街道精金花园北区（华山路92号）10栋2单元,"118.729498,32.028728",3
20,2022-12-04,建邺区,莫愁湖街道电站村小区3栋10号,"118.760287,32.024054",3
21,2022-12-04,建邺区,莫愁湖街道东升沿一小区东升村11栋38号,"118.757890,32.023969",3
22,2022-12-04,建邺区,莫愁湖街道润花园小区1栋1单元,"118.764355,32.021878",3
23,2022-12-04,鼓楼区,下关街道驴子巷34号3幢,"118.747904,32.089929",3
24,2022-12-04,鼓楼区,挹江门街道喜中筒发棋牌室（虎踞北路82-1号）,"118.754258,32.075514",3
25,2022-12-04,鼓楼区,挹江门街道萨家湾3号常胜楼棋牌室,"118.761592,32.082307",3
26,2022-12-04,鼓楼区,挹江门街道洪庙巷1号小区1号楼,"118.762696,32.083458",3
27,2022-12-04,鼓楼区,下关街道盐西街16巷25号,"118.749369,32.089496",3
